ALGORITHM,PUBLICKEYBYTES,SECRETKEYBYTES,BYTES
dilithium2,1184,2800,2044
dilithium3,1472,3504,2701
dilithium4,1760,3856,3366
ed25519,32,64,64
edons128k08n72nu8l4mu3,840,32,232
edons128ref,2576,32,304
gravitysphincsl,32,1048608,38768
gravitysphincsm,32,2097184,34064
gravitysphincss,32,65568,15728
gui184,422122,14985,45
gui312,1990045,41755,63
gui448,5903405,94757,83
lattisigns512,1536,256,1184
luov4849242,7536,32,1746
luov6468330,19973,32,3184
luov8086399,40248,32,4850
mqdss48,62,32,32882
mqdss64,88,48,67800
ntrumls401x,972,1158,853
ntrumls439x,1112,1305,988
ntrumls593x,1478,1742,1335
ntrumls743x,1927,2267,1765
pass769,1544,193,1602
pass863,1776,216,1790
picnicl1fs,33,49,34004
picnicl1ur,33,49,53933
picnicl3fs,49,73,76744
picnicl3ur,49,73,121817
picnicl5fs,65,97,132828
picnicl5ur,65,97,209478
pqrsa15,32768,98304,32800
qtesla1,1504,2112,1376
qtesla128,4128,2112,3104
qtesla192,8224,8256,6176
qtesla1p,14880,5184,2848
qtesla256,8224,8256,6176
qtesla3f,3104,4160,2848
qtesla3p,39712,12352,6176
qtesla3s,2976,4160,2720
rainbow181212,22704,17838,42
rainbow1a,152097,100209,64
rainbow1b,163185,114308,78
rainbow1c,192241,143385,104
rainbow3b,564535,409463,112
rainbow3c,720793,537781,156
rainbow4a,565489,376141,92
rainbow5c,1723681,1274317,204
rainbow6a,1351361,892079,118
rainbow6b,1456225,1016868,147
sphincsf128haraka,32,64,16976
sphincsf128sha256,32,64,16976
sphincsf128shake256,32,64,16976
sphincsf192haraka,48,96,35664
sphincsf192sha256,48,96,35664
sphincsf192shake256,48,96,35664
sphincsf256haraka,64,128,49216
sphincsf256sha256,64,128,49216
sphincsf256shake256,64,128,49216
sphincss128haraka,32,64,8080
sphincss128sha256,32,64,8080
sphincss128shake256,32,64,8080
sphincss192haraka,48,96,17064
sphincss192sha256,48,96,17064
sphincss192shake256,48,96,17064
sphincss256haraka,64,128,29792
sphincss256sha256,64,128,29792
sphincss256shake256,64,128,29792
